h,k,l,phase_deg
-5,-3,1,-48.344559
-5,-2,0,42.684772
-5,-1,-1,120.804272
-4,-2,1,-123.312478
-4,-1,1,81.491470
-4,-1,2,-107.079161
-4,3,0,-23.226478
-4,4,0,-162.235843
-3,-4,1,-138.678063
-3,-1,-1,28.495717
-3,0,-2,68.065877
-3,0,-1,-80.730852
-3,0,0,49.650927
-3,1,-1,147.982342
-3,1,0,-72.805351
-3,1,2,141.734929
-2,-4,-1,143.875334
-2,-3,-1,-2.129566
-2,-2,0,-0.748669
-2,-1,0,-166.358016
-2,2,2,80.496996
-1,-2,2,-54.673584
-1,-1,2,-154.845614
-1,2,2,-49.046029
-1,3,-1,93.544970
-1,3,0,-104.569136
-1,3,1,38.065136
-1,4,-1,-75.425665
0,-1,0,150.325698
0,-1,1,-59.327528
0,1,-1,59.327528
0,1,0,-150.325698
1,-4,1,75.425665
1,-3,-1,-38.065136
1,-3,0,104.569136
1,-3,1,-93.544970
1,-2,-2,49.046029
1,1,-2,154.845614
1,2,-2,54.673584
2,-2,-2,-80.496996
2,1,0,166.358016
2,2,0,0.748669
2,3,1,2.129566
2,4,1,-143.875334
3,-1,-2,-141.734929
3,-1,0,72.805351
3,-1,1,-147.982342
3,0,0,-49.650927
3,0,1,80.730852
3,0,2,-68.065877
3,1,1,-28.495717
3,4,-1,138.678063
4,-4,0,162.235843
4,-3,0,23.226478
4,1,-2,107.079161
4,1,-1,-81.491470
4,2,-1,123.312478
5,1,1,-120.804272
5,2,0,-42.684772
5,3,-1,48.344559
